entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason
2024-10-15,2024-10-19,154.76,159.79,3.2501938485396753,4,target_vah
2024-11-30,2025-01-18,237.6,261.97,10.256734006734021,49,target_vah
2025-01-20,2025-01-21,242.19,250.33,3.360997563896121,1,target_vah
2025-01-26,2025-02-02,240.5,203.51,-15.380457380457385,7,stop_invalidacion
2025-08-09,2025-08-10,179.95,182.66,1.5059738816337918,1,target_vah
2025-09-07,2025-09-08,206.35,214.11,3.760600920765699,1,target_vah
2026-09-12,2026-09-18,101.76,112.72,10.770440251572321,6,target_vah
